시도,승인일자,이용건수_전체,이용금액_전체,이용건수_개인,이용금액_개인,이용건수_법인,이용금액_법인
제주,20210108,133.0,3641.0,122.0,3163.0,11.0,477.0
제주,20210109,140.0,3932.0,130.0,3535.0,10.0,397.0
제주,20210110,139.0,4007.0,129.0,3604.0,10.0,403.0
제주,20210111,187.0,6723.0,169.0,5655.0,18.0,1067.0
제주,20210112,188.0,6666.0,170.0,5550.0,18.0,1116.0
제주,20210113,197.0,6721.0,177.0,5579.0,20.0,1142.0
제주,20210114,195.0,6540.0,176.0,5462.0,19.0,1078.0
제주,20210115,205.0,6964.0,185.0,5833.0,20.0,1132.0
제주,20210116,192.0,6237.0,176.0,5506.0,15.0,731.0
제주,20210117,153.0,4559.0,142.0,4104.0,11.0,455.0
제주,20210118,193.0,7193.0,174.0,6040.0,19.0,1153.0
제주,20210119,199.0,7696.0,179.0,6565.0,20.0,1131.0
제주,20210120,200.0,7522.0,181.0,6402.0,20.0,1120.0
제주,20210121,195.0,6987.0,176.0,5842.0,20.0,1145.0
제주,20210122,192.0,6844.0,174.0,5735.0,19.0,1108.0
제주,20210123,170.0,5213.0,156.0,4603.0,13.0,610.0
제주,20210124,174.0,5164.0,162.0,4632.0,13.0,532.0
제주,20210125,204.0,7115.0,183.0,5843.0,20.0,1272.0
제주,20210126,189.0,6523.0,170.0,5295.0,19.0,1227.0
제주,20210127,203.0,7173.0,182.0,5710.0,21.0,1463.0
제주,20210128,192.0,7012.0,172.0,5486.0,20.0,1526.0
제주,20210129,199.0,7431.0,179.0,5883.0,20.0,1547.0
제주,20210130,204.0,6696.0,187.0,5809.0,17.0,887.0
제주,20210131,175.0,5292.0,161.0,4663.0,13.0,629.0
제주,20210201,191.0,7015.0,172.0,5711.0,19.0,1304.0
제주,20210202,202.0,7584.0,181.0,6057.0,20.0,1527.0
제주,20210203,205.0,7447.0,183.0,6003.0,21.0,1444.0
제주,20210204,204.0,7336.0,183.0,5859.0,21.0,1477.0
제주,20210205,210.0,7937.0,188.0,6357.0,21.0,1580.0
제주,20210206,211.0,7076.0,195.0,6160.0,17.0,916.0
제주,20210207,180.0,5536.0,167.0,4884.0,13.0,652.0
제주,20210208,215.0,8860.0,193.0,6932.0,22.0,1928.0
제주,20210209,223.0,9575.0,201.0,7662.0,22.0,1913.0
제주,20210210,253.0,11363.0,231.0,9450.0,22.0,1913.0
제주,20210211,207.0,6838.0,193.0,6166.0,14.0,673.0
제주,20210212,112.0,2471.0,105.0,2254.0,7.0,217.0
