ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202312,리치에버,제주시,용담2동,제주시내,한식,단품요리 전문,0.44,0.52,0,0,0.07,0.17,-0.04,9530,다다07b02a
202312,스쿠피 케이크,제주시,용담2동,제주시내,음료,커피,0.26,0.56,0.04,0.2,0.08,0.36,0.05,3710,다다07b02a
202312,제주오라성,제주시,오라동,제주시내,한식,가정식,0.38,0.17,0.05,0.01,0.11,0.07,0.02,5255,다나08a96b
202312,용담장인의집,제주시,용담1동,제주시내,한식,단품요리 전문,0.28,0.24,0.35,0.66,0.37,0.67,-0.13,12380,다다08b02b
202312,팔복만두,제주시,삼도2동,제주시내,간식,만두,0.5,1.3,0.02,0.19,0.1,0.6,-0.25,13769,다다09a02b
202312,컬러링도남점,제주시,이도2동,제주시내,주점및주류판매,맥주/요리주점,0.3,0.48,0,0,0.05,0.16,0.05,3711,다다09a00b
202312,수레바퀴식당,제주시,삼도2동,제주시내,음료,커피,0.18,0.2,0,0,0.03,0.07,0.07,2838,다다09a03a
202312,꾸로부타,제주시,이도2동,제주시내,한식,가정식,0.24,0.79,0,0.03,0.04,0.29,0.06,3229,다다09a00a
202312,서이,제주시,삼도1동,제주시내,한식,단품요리 전문,0.01,0.12,0,0,0,0.04,0.09,2343,다다09a01a
202312,오지하우스 제주본점,제주시,이도2동,제주시내,양식,양식,0.66,0.68,0.06,0.14,0.16,0.35,-0.07,10664,다다09b01a
202312,노포갈비,제주시,이도2동,제주시내,한식,갈비,3.05,1.79,0.11,0.23,0.59,0.8,-0.01,7497,다다09b00b
202312,맘스터치 일도동문점,제주시,건입동,제주시내,패스트푸드,햄버거,0.25,0.99,0.01,0.06,0.05,0.39,0.11,1939,다다10a02b
202312,블루메베이글,제주시,이도2동,제주시내,한식,베이커리,1.57,6.04,0.32,2.83,0.56,4.52,-0.13,12333,다다10a00b
202312,레이나,제주시,건입동,제주시내,한식,단품요리 전문,0.74,0.2,0.01,0.02,0.12,0.08,0.09,2312,다다10b03a
202312,플레이리스트,제주시,아라동,제주시내,한식,단품요리 전문,0.05,0.28,0.01,0.05,0.02,0.13,0.18,1049,다다10b00b
202312,비어준,제주시,이도2동,제주시내,주점및주류판매,맥주/요리주점,0.43,0.44,0.01,0.02,0.08,0.16,-0.03,8552,다다11a01a
202312,수너베러,제주시,일도2동,제주시내,양식,양식,0.58,0.48,0.03,0.03,0.12,0.19,-0.02,7820,다다11a02a
202312,영산강가마솥,제주시,아라동,제주시내,한식,가정식,0.57,1.23,0.02,0.12,0.11,0.52,0,6139,다나11a99b
202312,공룡마라탕앤꼬치6호점,제주시,아라동,제주시내,주점및주류판매,중식,1.03,3.73,0.02,0.15,0.18,1.38,-0.16,12869,다나11a98a
202312,서귀포걸메도야지,서귀포시,천지동,서귀포시내,한식,돼지고기,0.09,0.12,0,0,0.01,0.04,0.02,5134,다나12a73b
202312,미스터봉 국밥,서귀포시,서홍동,서귀포시내,한식,국밥,0,0,0,0.01,0,0,0.1,2075,다나12a74a
202312,지코바양념치킨서귀점,서귀포시,정방동,서귀포시내,패스트푸드,치킨,0.15,0.4,0.06,0.41,0.08,0.49,-0.22,13548,다나12a73a
202312,쏭스핫도그제주대점,제주시,아라동,제주시내,간식,베이커리,0.29,2.19,0.01,0.26,0.06,0.96,-0.21,13447,다나12b96b
202312,이비가짬뽕제주서귀포점,서귀포시,동홍동,서귀포시내,아시아음식,중식,0.39,1.03,0.01,0.06,0.07,0.4,0.1,2158,다나12b73b
202312,우지커피서귀포점,서귀포시,중앙동,서귀포시내,음료,커피,0.55,8.38,0.03,0.68,0.11,3.41,0.46,235,다나12b73b
