,숙박업명,숙박업주소,숙박위도,숙박경도,구역,대분류명,중분류명,식당명,도시명,행정동명,식당주소,식당위도,식당경도,검색량합계값,제주도민매출금액비율,외지인매출금액비율,전체매출금액비율,숙박_식당 거리
78,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,함골식당,제주시,조천읍,제주 제주시 조천읍 함대로 37-26,33.5401519,126.6594509,3898,1.29,0.09000000000000001,0.22000000000000003,2.1527372377872678
80,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,함덕골목,제주시,조천읍,제주 제주시 조천읍 함덕7길 6-14,33.54387318,126.6617407,3532,20.15,2.7600000000000002,4.78,2.3071844263823063
61,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,동해식당,제주시,조천읍,제주 제주시 조천읍 신북로 486,33.54305543,126.6619901,3193,1.9500000000000004,0.32,0.46,2.335513351034029
64,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,카페,커피,빽다방제주함덕점,제주시,조천읍,제주 제주시 조천읍 조함해안로 450,33.54508565,126.6621419,2793,14.329999999999998,2.17,3.43,2.343110245929362
76,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,털보식당,제주시,조천읍,제주 제주시 조천읍 신북로 554,33.54090209,126.668817,2245,0.8,0.89,0.8900000000000001,2.9908206274892373
56,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,갈치옥,제주시,조천읍,제주 제주시 조천읍 조함해안로 530,33.54246922,126.6695036,2187,2.2,13.779999999999998,13.1,3.034823692625139
67,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,애월연어함덕점,제주시,조천읍,제주 제주시 조천읍 조함해안로 496,33.54244787,126.6658432,2031,5.11,0.67,1.11,2.6970466677643095
81,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,해오반함덕점,제주시,조천읍,제주 제주시 조천읍 조함해안로 514,33.5425034,126.6676512,1841,2.16,6.3100000000000005,6.16,2.863417527204731
72,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,제주담백,제주시,조천읍,제주 제주시 조천읍 함덕19길 9,33.541250434059,126.670189837455,1765,0.08,0.14,0.14,3.1118748659371445
71,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,피자.치킨.햄버거,치킨,제주닭집,제주시,조천읍,제주 제주시 조천읍 함덕14길 3,33.54103762,126.6671677,1603,10.96,1.71,2.69,2.837367663366417
83,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,일식.회,일식,황금손가락함덕점,제주시,조천읍,제주 제주시 조천읍 신북로 519,33.54200025,126.665301,1563,5.390000000000001,0.41000000000000003,0.93,2.6521260407040352
84,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,회춘,제주시,조천읍,제주 제주시 조천읍 신북로 489,33.54317948,126.6626235,1519,5.3100000000000005,3.07,3.3699999999999997,2.393049779260495
73,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,제주어촌,제주시,조천읍,제주 제주시 조천읍 조함해안로 518,33.54247186,126.6680716,1255,2.28,1.55,1.69,2.902536509624051
77,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,통물식당,제주시,조천읍,제주 제주시 조천읍 신북로 468,33.54356807,126.6602057,1195,0.47000000000000003,0.45,0.47,2.1666931561839062
66,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,단품요리 전문,손이가네,제주시,조천읍,제주 제주시 조천읍 신북로 537,33.54163466,126.6673523,1135,1.19,0.19999999999999998,0.31000000000000005,2.8456605078392716
65,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,섬오름해물라면,제주시,조천읍,제주 제주시 조천읍 조함해안로 355-7,33.54976963,126.6559213,1043,0.21000000000000002,0.6100000000000001,0.5800000000000001,1.8549397657840294
59,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,고기,돼지고기,깡촌흑돼지,제주시,조천읍,제주 제주시 조천읍 신북로 534,33.54145805,126.6668598,840,1.75,4.48,4.07,2.802780670226151
