숙박업명,시도명,구군명,주변숙박업목록내용,1Q Average Price,2Q Average Price,Number of rooms,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,Number of Accommodations Nearby,구군명_서귀포시,구군명_제주시
코델리아s 호텔 앤 리조트,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 골든튤립제주성산, 플레이스 캠프 제주",54557,52946,78,1,0,1,0,0,1,0,0,1,1,0,4,1,0
신신호텔 서귀포점,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 호텔 케니 서귀포, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",78539,79890,222,1,1,1,1,0,0,0,0,1,1,0,10,1,0
파밀리아 호텔,제주,서귀포시,없음,84028,99966,28,1,1,1,1,0,0,0,0,1,1,0,0,1,0
돔베리조트,제주,서귀포시,제주 골드원 호텔 스위트,104687,101668,20,1,0,1,1,0,0,0,0,0,0,0,1,1,0
제주 일레인 호텔,제주,서귀포시,없음,91996,74121,42,1,0,1,1,0,0,0,0,0,1,0,0,1,0
제주 웨스턴그레이스 강정,제주,서귀포시,빠레브 호텔 제주,63105,62984,300,1,0,1,0,0,0,0,0,0,0,0,1,1,0
중문 썬라이즈호텔,제주,서귀포시,베니키아 중문 호텔,69272,76510,29,1,0,1,0,0,1,0,0,0,0,0,1,1,0
중문 리조트,제주,서귀포시,없음,84982,83498,48,1,1,1,0,0,1,0,0,1,0,0,0,1,0
켄싱턴리조트 서귀포,제주,서귀포시,없음,213684,222314,246,1,1,1,1,0,1,0,0,1,0,0,0,1,0
금호 제주 리조트,제주,서귀포시,없음,204588,196893,242,1,1,1,1,0,1,1,1,1,0,0,0,1,0
켄싱턴리조트 제주한림,제주,제주시,없음,222088,238051,44,1,1,1,1,0,0,0,0,0,0,0,0,0,1
켄싱턴리조트 제주중문,제주,서귀포시,없음,270408,309145,52,1,0,1,1,0,1,0,0,0,0,1,0,1,0
소노캄 제주,제주,서귀포시,없음,250237,246118,331,1,1,1,1,0,1,1,1,1,0,0,0,1,0
썬 앤 문 리조트,제주,서귀포시,없음,237473,236643,20,1,0,1,1,0,1,1,1,1,1,1,0,1,0
