숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1분기평균가격_standard,2분기평균가격_standard,객실수_standard,주변숙박업소수_standard,UMAP1,UMAP2,UMAP3,kmeans_cluster
이스턴 호텔 제주,제주,서귀포시,"그린트리인 서귀포(그랜드밀리언스), 신신호텔 제주월드컵",53276,63877,205,1,1,0,0,1,0,0,0,1,1,0,2,1.0,0.0,10.883259997322705,11.064730293135002,5.327876168789581,1.0986122886681096,-0.7668145888104998,-0.6833746985926863,0.26924391144514725,-0.2093840437973535,-1.398084302767372,-1.2332216644492127,0.4956285061265533,-0.3062142130949996,9.192279,5.401709,13.31142,2
라마다제주시티,제주,제주시,없음,99725,132697,357,1,1,1,1,1,0,0,0,1,1,0,0,0.0,1.0,11.510181704299166,11.795831148616669,5.8805329864007,0.0,-0.04547098470904051,0.1665041969080107,0.6545015041128573,-0.6596979530153685,-0.3437387309946006,-0.025177562453802094,1.0608176811024426,-1.260372094551657,12.173779,5.6979394,10.57164,5
라마다제주함덕,제주,제주시,오션그랜드호텔,119826,141779,300,1,1,1,1,1,0,0,0,1,0,1,1,0.0,1.0,11.693804314896258,11.862031839409008,5.707110264748875,0.6931471805599453,0.1658073842621569,0.24346015934483367,0.5336083600704772,-0.3755815092426466,-0.03492555032789617,0.08421001856197821,0.8834623281075241,-0.6583654975359442,12.244375,5.6700144,10.5462,5
라마다프라자제주,제주,제주시,"라마다프라자제주호텔, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",201093,243578,400,1,1,1,1,1,1,0,1,1,1,0,4,0.0,1.0,12.211527739413109,12.403196604205299,5.993961427306569,1.6094379124341003,0.7615061402836275,0.872545064854835,0.7335725780432181,0.0,0.8357723278409185,0.9784107261910031,1.1768182892402397,0.13744393636666102,12.953118,5.4121127,10.048328,5
신신호텔 제주공항,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",106753,104896,209,1,1,1,1,0,0,0,0,1,1,0,19,0.0,1.0,11.578282401114857,11.560734195310044,5.3471075307174685,2.995732273553991,0.03288649045283901,-0.10678769916038845,0.2826501121178995,0.5682328875454438,-0.22920821255306967,-0.41364310138693305,0.5152959692525282,1.3414571303980865,13.1377125,5.9705215,11.839621,1
제주 리젠트마린 더 블루,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 휘슬락, 오션 스위츠 제주 호텔",95707,114704,327,1,1,1,1,0,1,0,0,1,1,0,4,0.0,1.0,11.469057168513567,11.650118894146436,5.793013608384144,1.6094379124341003,-0.09278936678206261,-0.0028811470723224953,0.5934916625403259,0.0,-0.41290123041717225,-0.26594712014396305,0.9713136643612851,0.13744393636666102,12.317149,6.116493,10.817768,5
베스트웨스턴 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",86580,110124,363,1,1,1,1,1,0,0,0,1,1,0,17,0.0,1.0,11.36883567094082,11.60937136323848,5.8971538676367405,2.8903717578961645,-0.20810541895105433,-0.05024871107225557,0.6660879362149553,0.5250463091933834,-0.581451929788998,-0.3332768380825377,1.0778154668056488,1.2499502653773704,13.335743,5.9627643,11.428942,5
브라운 스위트 제주,제주,서귀포시,"더베스트제주성산, 골든튤립제주성산, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",112093,92545,215,1,0,1,0,0,0,0,0,0,1,0,4,1.0,0.0,11.627093083988203,11.435461097186492,5.375278407684165,1.6094379124341003,0.08904864516960868,-0.25241324653996533,0.3022880572181528,0.0,-0.1471192901724469,-0.6206397506073005,0.5441056648968841,0.13744393636666102,9.467851,5.6891375,12.631301,2
제주 센트럴 시티,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",93712,120172,240,1,1,0,0,0,0,0,0,1,1,0,23,0.0,1.0,11.447992199264604,11.69668765022717,5.484796933490655,3.1780538303479458,-0.1170269720033216,0.05125338537417735,0.3786335256177011,0.6429652875208123,-0.4483279141641549,-0.188998624325926,0.6561076944976496,1.4998055779521389,13.433574,5.962689,11.824883,1
골든튤립제주성산,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",104241,103271,252,1,1,1,0,0,1,0,0,1,1,0,4,1.0,0.0,11.554470398107377,11.545121563186544,5.53338948872752,1.6094379124341003,0.005488115378014334,-0.12493683199957303,0.412507442043899,0.0,-0.269254807919912,-0.4394408391573142,0.7058021618942675,0.13744393636666102,9.8960285,5.3686786,12.760089,2
